FillControlsByLanguage from class Localization: 10.03.2022 14:26:59 	 Exception 
FillControlsByLanguage from class Localization: 10.03.2022 14:36:05 	 Exception 
FillControlsByLanguage from class Localization: 10.03.2022 14:37:12 	 Exception 
FillControlsByLanguage from class Localization: 13.03.2022 21:43:33 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:25:10 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:31:42 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:38:58 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:42:05 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:50:38 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:56:57 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:57:25 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:58:11 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:58:46 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 16:59:10 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 24.03.2022 17:00:33 	 Exception 
DeleteNoticeById from class NoticeBoardDal: 24.03.2022 18:57:44 	 Exception 
DeleteNoticeById from class NoticeBoardDal: 24.03.2022 18:58:13 	 Exception 
DeleteNoticeById from class NoticeBoardDal: 24.03.2022 18:58:35 	 Exception 
DeleteNoticeById from class NoticeBoardDal: 24.03.2022 19:05:36 	 Exception 
DeleteNoticeById from class NoticeBoardDal: 24.03.2022 19:11:54 	 Exception 
DeleteNoticeById from class NoticeBoardDal: 24.03.2022 19:12:43 	 Exception 
DeleteNoticeById from class NoticeBoardDal: 24.03.2022 19:12:49 	 Exception 
DeleteNoticeById from class NoticeBoardDal: 24.03.2022 19:14:34 	 Exception 
EditNotice from class NoticeBoardDal: 24.03.2022 19:15:49 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 03.04.2022 16:01:18 	 Exception 
FillControlsByLanguage from class HealthClinicLocalization: 03.04.2022 16:04:39 	 Exception 
GetUserByFullName from class UserDal: 15.04.2022 22:27:28 	 Exception 
GetUserByFullName from class UserDal: 15.04.2022 22:30:15 	 Exception 
GetUserByFullName from class UserDal: 15.04.2022 22:32:38 	 Exception 
